location_name,state,latitude,longitude,metric,target_year,baseline_start_year,baseline_end_year,target_value,baseline_avg_value,delta_value,status
San Jose,California,37.33939,-121.89496,days_below_32f,2018,2011,2020,2,0.8,1.2,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2019,2011,2020,16,19.8,-3.8000000000000007,completed
San Jose,California,37.33939,-121.89496,days_below_32f,2019,2011,2020,0,0.8,-0.8,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2020,2011,2020,35,19.8,15.2,completed
San Jose,California,37.33939,-121.89496,days_below_32f,2020,2011,2020,0,0.8,-0.8,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2021,2011,2020,16,19.8,-3.8000000000000007,completed
San Jose,California,37.33939,-121.89496,days_below_32f,2021,2011,2020,0,0.8,-0.8,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2022,2011,2020,19,19.8,-0.8000000000000007,completed
San Jose,California,37.33939,-121.89496,days_below_32f,2022,2011,2020,1,0.8,0.19999999999999996,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2023,2011,2020,17,19.8,-2.8000000000000007,completed
San Jose,California,37.33939,-121.89496,days_below_32f,2023,2011,2020,1,0.8,0.19999999999999996,completed
San Jose,California,37.33939,-121.89496,days_above_90f,2024,2011,2020,40,19.8,20.2,completed
San Jose,California,37.33939,-121.89496,days_below_32f,2024,2011,2020,0,0.8,-0.8,completed
Austin,Texas,30.26715,-97.74306,days_above_90f,2015,2011,2020,83,95.7,-12.700000000000003,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2015,2011,2020,7,8.5,-1.5,completed
Austin,Texas,30.26715,-97.74306,days_above_90f,2016,2011,2020,75,95.7,-20.700000000000003,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2016,2011,2020,3,8.5,-5.5,completed
Austin,Texas,30.26715,-97.74306,days_above_90f,2017,2011,2020,73,95.7,-22.700000000000003,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2017,2011,2020,5,8.5,-3.5,completed
Austin,Texas,30.26715,-97.74306,days_above_90f,2018,2011,2020,96,95.7,0.29999999999999716,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2018,2011,2020,11,8.5,2.5,completed
Austin,Texas,30.26715,-97.74306,days_above_90f,2019,2011,2020,112,95.7,16.299999999999997,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2019,2011,2020,8,8.5,-0.5,completed
Austin,Texas,30.26715,-97.74306,days_above_90f,2020,2011,2020,92,95.7,-3.700000000000003,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2020,2011,2020,2,8.5,-6.5,completed
Austin,Texas,30.26715,-97.74306,days_above_90f,2021,2011,2020,69,95.7,-26.700000000000003,completed
Austin,Texas,30.26715,-97.74306,days_below_32f,2021,2011,2020,12,8.5,3.5,completed
